#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
            0.96               9         8.68199         8.39955       0.0603092
            0.96              10         8.11436         8.37103       0.0606478
            0.96              11         8.46679         8.37974       0.0557557
            0.96              12         8.40178         8.38157       0.0511397
            0.96              13         8.47472         8.38874       0.0477052
            0.96              14         8.33309         8.38476        0.044463
            0.96              15         8.46314         8.38999       0.0418047
            0.96              16         8.51089         8.39754       0.0398689
            0.96              17         8.11703         8.38104       0.0407957
            0.96              18         7.93966         8.35652       0.0453032
            0.96              19         8.37446         8.35747       0.0429287
            0.96              20         8.32395         8.35579        0.040815
            0.98               1         8.07009         8.07009               0
            0.98               2         7.61792         7.84401        0.159868
            0.98               3          7.9455         7.87784          0.1101
            0.98               4         7.96578         7.89982       0.0847417
            0.98               5         7.78139         7.87614       0.0710264
            0.98               6         7.83262         7.86888       0.0595578
            0.98               7         7.90541          7.8741       0.0512777
            0.98               8         7.99966          7.8898       0.0472087
            0.98               9         7.80964         7.88089       0.0427951
            0.98              10         8.17423         7.91022       0.0475174
            0.98              11         8.01534         7.91978        0.044148
            0.98              12         8.06166          7.9316       0.0420223
            0.98              13         7.71932         7.91527       0.0418425
            0.98              14         7.94154         7.91715       0.0388958
            0.98              15         7.87223         7.91415       0.0364178
            0.98              16         7.84074         7.90957       0.0344296
            0.98              17         8.09308         7.92036       0.0340546
            0.98              18          7.9347         7.92116        0.032172
            0.98              19         7.83128         7.91643       0.0308246
            0.98              20         7.86011         7.91361       0.0294117
               1               1         7.05458         7.05458               0
               1               2          7.6105         7.33254        0.196546
               1               3         7.28473          7.3166        0.131675
               1               4         7.44732         7.34928        0.102732
               1               5         7.65158         7.40974       0.0983808
               1               6         7.35527         7.40066       0.0824018
               1               7         6.99384         7.34255       0.0887905
               1               8          7.3027         7.33757       0.0778313
               1               9         7.41689         7.34638       0.0696807
               1              10         7.30643         7.34238        0.062827
               1              11         7.31124         7.33955       0.0571792
               1              12         7.56463         7.35831       0.0554053
               1              13         7.08007         7.33691       0.0551225
               1              14         7.16174         7.32439       0.0525861
               1              15         7.30588         7.32316       0.0490948
               1              16         7.16225          7.3131       0.0470451
               1              17         7.49791         7.32397       0.0455164
               1              18         7.66162         7.34273       0.0466932
               1              19         7.59026         7.35576       0.0460172
               1              20         7.51111         7.36353       0.0443671
            1.02               1         7.04178         7.04178               0
            1.02               2         6.83522          6.9385         0.07303
            1.02               3         6.87255         6.91652       0.0518904
            1.02               4         7.04679         6.94908       0.0480634
            1.02               5         6.96611         6.95249       0.0385711
            1.02               6         7.02191         6.96406       0.0338332
            1.02               7         6.76557          6.9357       0.0391171
            1.02               8         7.18261         6.96657       0.0447772
            1.02               9         6.94626         6.96431       0.0398588
            1.02              10         7.03025          6.9709       0.0364144
            1.02              11         7.10012         6.98265       0.0349472
            1.02              12         7.21288         7.00184       0.0369276
            1.02              13         7.50122         7.04025         0.05024
            1.02              14         7.11588         7.04565        0.046941
            1.02              15         7.02782         7.04446       0.0438267
            1.02              16         6.99572         7.04142       0.0411932
            1.02              17         7.18491         7.04986       0.0396255
            1.02              18         6.96466         7.04512       0.0377057
            1.02              19         7.37077         7.06226       0.0394245
            1.02              20         7.11849         7.06508       0.0375534
            1.04               1         6.67314         6.67314               0
            1.04               2         6.78645         6.72979       0.0400599
            1.04               3         6.36237         6.60732        0.103505
            1.04               4         6.51415         6.58403        0.080207
