#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.98              17        0.161526        0.156724      0.00317475
            0.98              18        0.148958        0.156293      0.00302755
            0.98              19        0.148333        0.155874      0.00289704
            0.98              20        0.169491        0.156554      0.00283106
               1               1        0.168493        0.168493               0
               1               2        0.147256        0.157875      0.00750857
               1               3        0.116456        0.144069       0.0123341
               1               4         0.14486        0.144266      0.00925218
               1               5        0.145048        0.144423      0.00740306
               1               6        0.150018        0.145355      0.00622768
               1               7         0.13919        0.144475      0.00539993
               1               8         0.15011        0.145179      0.00477066
               1               9        0.135182        0.144068      0.00436798
               1              10         0.12957        0.142618      0.00416485
               1              11        0.160429        0.144237      0.00408885
               1              12        0.150722        0.144778      0.00378365
               1              13        0.137835        0.144244      0.00353009
               1              14        0.142006        0.144084      0.00328156
               1              15        0.160247        0.145161      0.00323488
               1              16        0.112398        0.143114      0.00362332
               1              17        0.168484        0.144606       0.0037048
               1              18        0.147724        0.144779      0.00350303
               1              19        0.147608        0.144928      0.00332182
               1              20        0.162756         0.14582      0.00327314
            1.02               1        0.143969        0.143969               0
            1.02               2        0.150517        0.147243      0.00231491
            1.02               3        0.133036        0.142508       0.0041633
            1.02               4        0.159114        0.146659      0.00476203
            1.02               5        0.123089        0.141945      0.00568251
            1.02               6        0.127709        0.139572      0.00520729
            1.02               7        0.122228        0.137095      0.00501841
            1.02               8        0.148721        0.138548      0.00459675
            1.02               9        0.143397        0.139087      0.00411745
            1.02              10         0.13419        0.138597       0.0037347
            1.02              11        0.145664        0.139239         0.00345
            1.02              12        0.154032        0.140472      0.00337555
            1.02              13        0.140547        0.140478       0.0031159
            1.02              14        0.128558        0.139627      0.00300741
            1.02              15        0.147153        0.140128      0.00284846
            1.02              16        0.113906        0.138489      0.00310635
            1.02              17        0.138525        0.138491      0.00292362
            1.02              18        0.128621        0.137943      0.00281216
            1.02              19        0.141452        0.138128      0.00267021
            1.02              20        0.131354        0.137789      0.00255809
            1.04               1        0.131851        0.131851               0
            1.04               2        0.111856        0.121854      0.00706925
            1.04               3         0.10664        0.116782      0.00627344
            1.04               4        0.139639        0.122497      0.00682839
            1.04               5        0.142902        0.126578      0.00657001
            1.04               6        0.153994        0.131147        0.006883
            1.04               7         0.12995        0.130976      0.00590184
            1.04               8        0.158069        0.134363      0.00605836
            1.04               9        0.129964        0.133874      0.00540489
            1.04              10        0.132482        0.133735      0.00486619
            1.04              11        0.133321        0.133697      0.00442395
            1.04              12        0.144365        0.134586      0.00414366
            1.04              13          0.1452        0.135403      0.00390452
            1.04              14        0.131165          0.1351      0.00363734
            1.04              15        0.124029        0.134362      0.00346893
            1.04              16        0.128188        0.133976      0.00327351
