#T:     ACCEPTANCE:
1.66        0.457178
1.66        0.457452
1.66        0.457314
1.66        0.457146
1.66        0.457178
1.66        0.457086
1.66        0.457003
1.66        0.456995
1.66        0.456954
1.66        0.456916
1.66        0.456845
1.66        0.456823
1.66        0.456867
1.66        0.456816
1.66        0.456849
1.66        0.456893
1.66        0.456876
1.68        0.462438
1.68        0.462095
1.68         0.46135
1.68        0.461707
1.68        0.461652
1.68        0.461707
1.68         0.46164
1.68        0.461597
1.68        0.461411
1.68        0.461468
1.68        0.461435
1.68        0.461459
1.68        0.461388
1.68         0.46136
1.68        0.461399
1.68        0.461398
1.68        0.461496
1.68        0.461526
1.68        0.461596
1.68        0.461562
1.7        0.467794
1.7        0.467811
1.7        0.467158
1.7        0.466971
1.7        0.466691
1.7        0.466629
1.7        0.466738
1.7        0.466724
1.7        0.466742
1.7        0.466701
1.7        0.466729
1.7        0.466769
1.7        0.466776
1.7         0.46678
1.7        0.466667
1.7        0.466748
1.7        0.466758
1.7        0.466726
1.7        0.466767
1.7        0.466748
1.72        0.471625
1.72        0.471875
1.72        0.472119
1.72        0.471973
1.72        0.472063
1.72        0.471973
1.72        0.471978
1.72        0.471805
1.72        0.471794
1.72        0.471987
1.72        0.472057
1.72        0.472031
1.72        0.472063
1.72        0.472013
1.72        0.471988
1.72        0.472068
1.72        0.472092
1.72        0.472077
1.72         0.47203
1.72        0.471993
1.74        0.476449
1.74         0.47694
1.74        0.477022
1.74        0.476619
1.74        0.476493
1.74        0.476313
1.74        0.476477
1.74        0.476608
1.74        0.476628
1.74        0.476555
1.74        0.476534
1.74        0.476449
1.74        0.476427
1.74        0.476387
1.74        0.476319
1.74        0.476406
1.74        0.476343
1.74        0.476415
1.74        0.476438
1.74        0.476436
1.76        0.481435
1.76        0.481648
1.76         0.48179
1.76        0.481701
1.76        0.481635
1.76        0.481485
1.76        0.481465
1.76        0.481496
1.76        0.481436
1.76        0.481404
1.76        0.481508
1.76        0.481504
1.76        0.481426
1.76        0.481479
1.76        0.481554
1.76         0.48164
1.76        0.481613
1.76        0.481638
1.76        0.481609
1.76        0.481608
1.78        0.484251
1.78        0.485029
1.78         0.48557
1.78        0.485642
1.78        0.485867
1.78        0.485869
1.78        0.486037
1.78        0.486177
1.78        0.486284
1.78        0.486205
1.78        0.486247
1.78        0.486186
1.78        0.486019
1.78        0.486098
1.78        0.486121
1.78        0.486128
1.78        0.486091
1.78        0.485997
1.78        0.486054
1.78        0.486048
1.8        0.491882
1.8        0.490788
1.8        0.490724
1.8        0.490715
1.8        0.490614
1.8        0.490807
1.8        0.490907
1.8        0.490913
1.8        0.490984
1.8        0.491186
1.8        0.491168
1.8        0.491186
1.8        0.491176
1.8         0.49114
1.8        0.491055
1.8        0.491047
1.8         0.49111
1.8        0.491047
1.8        0.491023
1.8        0.490959
1.82        0.494563
1.82        0.495363
1.82        0.495117
1.82        0.495048
1.82        0.495117
1.82        0.495036
1.82        0.495052
1.82        0.495082
1.82        0.495203
1.82        0.495135
1.82        0.495344
1.82         0.49527
1.82        0.495355
1.82        0.495252
1.82         0.49534
1.82        0.495344
1.82        0.495409
1.82        0.495381
1.82         0.49542
1.82        0.495411
1.84        0.499659
1.84        0.499516
1.84        0.499572
1.84        0.499837
1.84        0.499977
1.84        0.500064
1.84        0.499994
1.84        0.500051
1.84        0.500006
1.84        0.500124
1.84         0.50018
1.84        0.500138
1.84        0.500138
1.84        0.500108
1.84        0.500046
1.84        0.500071
1.84        0.500091
1.84        0.500044
1.84        0.499985
1.84        0.499896
1.86        0.503859
1.86         0.50393
1.86        0.504378
1.86        0.504011
1.86        0.503934
1.86        0.504072
1.86        0.504273
1.86        0.504276
1.86        0.504308
1.86        0.504188
1.86        0.504314
1.86        0.504312
1.86        0.504378
1.86        0.504283
1.86        0.504297
1.86        0.504292
1.86        0.504265
1.86        0.504267
1.86        0.504238
1.86        0.504292
1.88        0.507918
1.88        0.508754
1.88        0.508519
1.88        0.508736
1.88        0.508779
1.88        0.508864
1.88        0.508785
1.88        0.508925
1.88        0.508925
1.88        0.508921
1.88        0.508868
1.88        0.508823
1.88        0.508855
1.88        0.508839
1.88        0.508875
1.88         0.50886
1.88        0.508909
1.88        0.508916
1.88        0.508903
1.88        0.508908
1.9        0.512185
1.9        0.511975
1.9        0.512527
1.9        0.512683
1.9        0.512753
1.9        0.512985
1.9         0.51282
1.9        0.512799
1.9        0.512735
1.9        0.512795
1.9        0.512899
1.9        0.512964
1.9        0.512902
1.9        0.512871
1.9        0.512989
1.9        0.512905
1.9        0.512936
1.9        0.512941
1.9        0.513002
1.9        0.512988
1.92        0.518047
1.92        0.518302
1.92        0.517585
1.92        0.517479
1.92         0.51746
1.92        0.517336
1.92        0.517195
1.92        0.517247
1.92        0.517206
1.92        0.517182
1.92        0.517186
1.92        0.517162
1.92        0.517204
1.92        0.517275
1.92        0.517265
1.92        0.517248
1.92        0.517286
1.92        0.517235
1.92        0.517268
1.92        0.517308
1.94        0.520893
1.94        0.521484
1.94        0.521403
1.94         0.52151
1.94        0.521513
1.94        0.521595
1.94        0.521455
1.94        0.521472
1.94        0.521433
1.94        0.521551
1.94        0.521638
1.94        0.521627
1.94        0.521687
1.94        0.521642
1.94        0.521633
1.94        0.521704
1.94        0.521727
1.94        0.521733
1.94        0.521761
1.94        0.521716
1.96         0.52594
1.96        0.526202
1.96        0.525815
1.96        0.525548
1.96        0.525425
1.96        0.525501
1.96        0.525621
1.96        0.525506
1.96        0.525468
1.96        0.525548
1.96        0.525513
1.96        0.525598
1.96        0.525523
1.96        0.525413
1.96        0.525375
1.96        0.525379
1.96        0.525305
1.96        0.525288
1.96        0.525243
1.96        0.525243
1.98        0.530304
1.98        0.530343
1.98        0.529789
1.98        0.529538
1.98        0.529342
1.98        0.529746
1.98        0.529723
1.98        0.529851
1.98         0.52965
1.98        0.529546
1.98        0.529574
1.98        0.529578
1.98        0.529533
1.98        0.529569
1.98        0.529572
1.98        0.529494
1.98        0.529583
1.98        0.529514
1.98        0.529522
1.98        0.529536
2        0.533352
2        0.533542
2        0.533188
2        0.533016
2        0.533014
2        0.532991
2        0.533149
2        0.533209
2        0.533314
2        0.533368
2        0.533256
2        0.533331
2        0.533365
2        0.533404
2        0.533405
2        0.533424
2        0.533469
2        0.533392
2        0.533331
2         0.53335
2.02        0.538317
2.02        0.538079
2.02        0.537836
2.02        0.537694
2.02        0.537779
2.02        0.537877
2.02        0.538083
2.02        0.538145
2.02        0.538073
2.02         0.53795
2.02        0.538033
2.02        0.537864
